region,indicator,period,status,sen_slope,trend,p_value,significant,tau,n
YRD,EVI_Dynamic,1985-2005,primary,-0.0019561288496867,decreasing,0.0320343717059257,True,-0.3428571428571428,21
YRD,FVC_Dynamic,1985-2005,primary,-0.0039595688802379,decreasing,0.0041215262651426,True,-0.4571428571428571,21
YRD,FVC_Fixed1985,1985-2005,primary,-0.0029677846964758,decreasing,0.0001255596432738,True,-0.6095238095238096,21
YRD,NDMI_Dynamic,1985-2005,primary,0.0034451159294013,increasing,0.0015208424207022,True,0.5047619047619047,21
YRD,EVI_Dynamic,2005-2020,primary,0.0047732607643087,increasing,1.2585861611347228e-05,True,0.8166666666666667,16
YRD,FVC_Dynamic,2005-2020,primary,0.0069001433698895,increasing,1.8931051599002657e-05,True,0.8,16
YRD,FVC_Fixed1985,2005-2020,primary,0.00659970179885,increasing,2.8254873904787203e-05,True,0.7833333333333333,16
YRD,NDMI_Dynamic,2005-2020,primary,-0.0072908366781438,decreasing,6.149382123754599e-05,True,-0.75,16
GBA,EVI_Dynamic,1985-2005,primary,-0.0015525798959393,no trend,0.545701386215353,False,-0.1,21
GBA,FVC_Dynamic,1985-2005,primary,-0.0050755381616152,no trend,0.0852100829937603,False,-0.2761904761904762,21
GBA,FVC_Fixed1985,1985-2005,primary,-0.0038791374036621,decreasing,9.803561136934036e-05,True,-0.6190476190476191,21
GBA,NDMI_Dynamic,1985-2005,primary,-0.002001455949664,no trend,0.0797358917376351,False,-0.2809523809523809,21
GBA,EVI_Dynamic,2005-2020,primary,0.0038629178919952,increasing,0.0003754299676275,True,0.6666666666666666,16
GBA,FVC_Dynamic,2005-2020,primary,0.0047396935052697,increasing,0.0025570393769516,True,0.5666666666666667,16
GBA,FVC_Fixed1985,2005-2020,primary,0.004215199256343,increasing,0.0045622611532225,True,0.5333333333333333,16
GBA,NDMI_Dynamic,2005-2020,primary,-0.0040052825091797,decreasing,0.0003754299676275,True,-0.6666666666666666,16
BTH,EVI_Dynamic,1985-2005,primary,-0.0023074804050154,decreasing,0.0008027107794794,True,-0.5333333333333333,21
BTH,FVC_Dynamic,1985-2005,primary,-0.0053335130165846,decreasing,0.0015208424207022,True,-0.5047619047619047,21
BTH,FVC_Fixed1985,1985-2005,primary,-0.00553269008743,decreasing,0.0015208424207022,True,-0.5047619047619047,21
BTH,NDMI_Dynamic,1985-2005,primary,0.0036365388499032,increasing,4.570205564591312e-05,True,0.6476190476190476,21
BTH,EVI_Dynamic,2005-2020,primary,0.0009450891648806,no trend,0.1916705914227554,False,0.25,16
BTH,FVC_Dynamic,2005-2020,primary,-0.0004584086878077,no trend,0.7526419827681854,False,-0.0666666666666666,16
BTH,FVC_Fixed1985,2005-2020,primary,-0.0002021764616258,no trend,0.7526419827681854,False,-0.0666666666666666,16
BTH,NDMI_Dynamic,2005-2020,primary,-0.008572336686538,decreasing,6.149382123754599e-05,True,-0.75,16
