system:index,FVC_FixedEndmember_Pixel,region,year,.geo
0,0.2192644597369193,BTH,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.25673947692111904,BTH,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.24769222321448686,BTH,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.24280779319864504,BTH,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.1954420590550412,BTH,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.2600264328603869,BTH,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.20881568097352465,BTH,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.1744418901701091,BTH,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.2255222534906999,BTH,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.21934165758956325,BTH,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.19022074987393395,BTH,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.1577572397513585,BTH,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.22026547656290518,BTH,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.2506684352911461,BTH,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.2598160286072921,BTH,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.13209909114847282,BTH,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.19096820225364253,BTH,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.18095076849869,BTH,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.136570093540734,BTH,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.19035675472028207,BTH,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.1762371999730164,BTH,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.16110715685818408,BTH,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.16664151789033432,BTH,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.18455214693775293,BTH,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.1635098831069091,BTH,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.15555176101062979,BTH,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.19207473052765112,BTH,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.15616328709205082,BTH,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.26263549449370593,BTH,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.24404622843559134,BTH,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.2526700834310701,BTH,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.21277804663462208,BTH,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.22191397941300167,BTH,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.22172587444194225,BTH,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.1867128336190504,BTH,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.26535613164930033,BTH,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
