system:index,FVC_FixedEndmember_Pixel,region,year,.geo
0,0.25580547684714333,GBA,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.2558054768471434,GBA,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.2385956796766075,GBA,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.221373592591231,GBA,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.23819082195047733,GBA,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.25696033356000914,GBA,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.20787159978091224,GBA,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.24150339830139614,GBA,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.2635690175286505,GBA,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.23524111313760077,GBA,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.2684104610282222,GBA,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.28301675326423614,GBA,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.3327161673489404,GBA,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.3390461073293568,GBA,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.2877802570207398,GBA,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.20266662226767104,GBA,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.16571271289815184,GBA,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.16956221106689648,GBA,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.17287779285693688,GBA,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.1690828349231133,GBA,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.16404461439197493,GBA,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.16278464876553195,GBA,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.17313530414334308,GBA,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.145616960007077,GBA,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.15232944980213647,GBA,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.2188851954513458,GBA,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.18470824054663948,GBA,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.1761013272446856,GBA,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.25086846511082966,GBA,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.24906948903991466,GBA,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.2676886547675319,GBA,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.2998575641225812,GBA,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.28688267104501436,GBA,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.23813281280279397,GBA,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.2764606206065817,GBA,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.2872562981080936,GBA,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
