system:index,EVI_Dynamic,EVI_Fixed1985,FVC_Dynamic,FVC_Fixed1985,NDMI_Dynamic,NDMI_Fixed1985,NDVI_p5_soil,NDVI_p95_veg,actual_imagery_year,region,year,.geo
0,0.13923603446521146,0.13923603446521146,0.2950733908791058,0.2950733908791058,0.34596798285810276,0.34596798285810276,0.08970958035242026,0.7615588334906415,1986,GBA,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.13923603446521143,0.13923603446521143,0.2950733908791059,0.2950733908791059,0.34596798285810276,0.34596798285810276,0.08970958035242023,0.7615588334906414,1986,GBA,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.15547290672391917,0.15547290672391917,0.31679194355971346,0.31679194355971346,0.29283991836631645,0.29283991836631645,0.0039273534493631055,0.7929399843008831,1987,GBA,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.12426005141950976,0.16080530413735664,0.23999470404717618,0.2901878825976301,0.35452766996268514,0.29369282006947056,0.12085493105887965,0.7615780874526052,1988,GBA,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.12827740318443864,0.16499505746716941,0.25080868475610657,0.29877376914853043,0.3599405183584298,0.30356954412949017,0.14456090338638033,0.7459789677160337,1989,GBA,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.1383932396174906,0.17558460727093922,0.2647924768676341,0.3103850768570693,0.3820743479661245,0.322046345755772,0.1367774506325682,0.7694706200861388,1990,GBA,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.1586826484456671,0.1836331356577901,0.22981493277819495,0.26415664789024546,0.3091654955311188,0.277631339919995,0.1603009132424641,0.6835120820293683,1991,GBA,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.18684948230937024,0.20045473077178047,0.31947309362567644,0.34512024300942074,0.3258602556540331,0.306396716529087,0.09769972201200956,0.6757238754886192,1992,GBA,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.15626227593675698,0.16043890066588917,0.2876820582931206,0.2740251290860764,0.3232131117470357,0.2971468913512042,0.10556070801425742,0.7772775731048691,1993,GBA,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.14548514163934395,0.13710666208743297,0.2802420366348919,0.2594193304166643,0.3037810245829598,0.28507763690248183,0.09000312168450503,0.753772587211413,1994,GBA,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.18142514466920648,0.16969239209218676,0.2986350056502326,0.27364742962068267,0.3346285430273152,0.32671466801715554,0.0978409350729617,0.7772183532141873,1995,GBA,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.1840354796741098,0.1590244064689419,0.299281188710771,0.26283040876570096,0.3127362168534024,0.30870900224406356,0.12115082289030633,0.7772595063924697,1996,GBA,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.1973653445188839,0.16432303443456775,0.32911917112727507,0.2741466979383513,0.3123995173445873,0.3160107160257794,0.1444478824538216,0.7851342127279718,1997,GBA,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.21305313680001658,0.17013055974053262,0.35373339423054206,0.2853336906812113,0.2734904021165735,0.2866906521948527,0.13681947137916797,0.7615683492920181,1998,GBA,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.17806447829455735,0.1539072379288193,0.30654633200368003,0.2713556079624667,0.24887074883941238,0.26428895116654283,0.11336698374912366,0.7850029960901332,1999,GBA,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.09786700449343544,0.15080506531902393,0.19889765026616557,0.2646209760415222,0.3292000131825587,0.2860840161701874,0.13679383154977287,0.8006225621306676,2000,GBA,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.07831551052437677,0.13396549764526952,0.172379630034776,0.23190196942327526,0.3419518804608851,0.2965981139265448,0.121147030585731,0.7928938345281819,2001,GBA,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
