system:index,FVC_FixedEndmember_Pixel,region,year,.geo
0,0.19005491818860232,YRD,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.16314275684495005,YRD,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.14405241180532202,YRD,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.19896318096136167,YRD,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.1784042392018023,YRD,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.18941771378452574,YRD,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.12558456205447766,YRD,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.1634942541879508,YRD,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.18389894819722674,YRD,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.22380384747263038,YRD,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.2104117847434369,YRD,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.15871486297977133,YRD,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.22336716858595568,YRD,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.18208788505464432,YRD,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.18351863478931116,YRD,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.155245496748675,YRD,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.17371561218926065,YRD,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.1404028775669476,YRD,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.11954152016327395,YRD,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.1444188190551609,YRD,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.13063448400988467,YRD,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.169657254469044,YRD,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.17395635710195478,YRD,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.16935803639318342,YRD,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.16845154006217122,YRD,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.2094102759155719,YRD,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.2091336661366711,YRD,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.20317232642973368,YRD,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.28048324730422297,YRD,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.2420270452166891,YRD,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.2543438799018796,YRD,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.262928416401462,YRD,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.30028602906192764,YRD,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,0.3183506046286135,YRD,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.3411502606243663,YRD,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0.2929046154689889,YRD,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
